Year,Forest,Shrubs,AgricultureLand,Builtuparea,WaterBodies,Barrenland,Total
2017,102.1,72.48,57.45,11.37,1.11,0.012,244.522
2018,93.13,87.69,47.03,15.96,0.735,0.032,244.577
2019,101.4,86.53,40.98,14.12,1.537,0.029,244.596
2020,98.46,71.47,51.77,21.6,1.237,0.039,244.576
2021,81.03,74.37,47.86,38.66,2.534,0.12,244.574
